phylum,class,order,family,genus,species,base_name,base_rank,aphiaID,valid_name,valid_aphiaID,role
Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,Euphausiacea,order,1128,Euphausiacea,1128,prey
Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,Nephrops norvegicus,Nephrops norvegicus,species,107254,Nephrops norvegicus,107254,prey
Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,NA,Nephrops,genus,106863,Nephrops,106863,prey
Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,Eualus pusiolus,Eualus pusiolus,species,107507,Eualus pusiolus,107507,prey
Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,Pandalus borealis,Pandalus borealis,species,107649,Pandalus borealis,107649,prey
Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,Pandalus montagui,Pandalus montagui,species,107651,Pandalus montagui,107651,prey
Arthropoda,Malacostraca,Decapoda,Hippolytidae,NA,NA,Hippolytidae,family,106777,Hippolytidae,106777,prey
Arthropoda,Malacostraca,Decapoda,Munididae,Munida,Munida intermedia,Munida intermedia,species,107157,Munida intermedia,107157,prey
Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Parapasiphae,Parapasiphae sulcatifrons,Parapasiphae sulcatifrons,species,107673,Parapasiphae sulcatifrons,107673,prey
Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus bernhardus,Pagurus bernhardus,species,107232,Pagurus bernhardus,107232,prey
Arthropoda,Malacostraca,Decapoda,Polybiidae,Liocarcinus,NA,Liocarcinus,genus,106925,Liocarcinus,106925,prey
Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra pelagica,Acanthephyra pelagica,species,107581,Acanthephyra pelagica,107581,prey
Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,NA,Acanthephyra,genus,107018,Acanthephyra,107018,prey
Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,species,107381,Carcinus maenas,107381,prey
Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer pagurus,Cancer pagurus,species,107276,Cancer pagurus,107276,prey
Arthropoda,Malacostraca,Decapoda,Portunidae,Portunus,Portunus puber,Portunus puber,species,148470,Necora puber,107398,prey
